"interment_id","string_agg"
"null","greenwood-volume-20.json,greenwood-volume-27.json,greenwood-volume-28.json,greenwood-volume-31.json,greenwood-volume-34.json,greenwood-volume-38.json,greenwood-volume-40.json"
"26214","greenwood-volume-04.json,greenwood-volume-07.json"
"151045","greenwood-volume-19.json,greenwood-volume-20.json"
"151044","greenwood-volume-19.json,greenwood-volume-20.json"
"151043","greenwood-volume-19.json,greenwood-volume-20.json"
"391459","greenwood-volume-41.json,greenwood-volume-54.json"
"208167","greenwood-volume-28.json,greenwood-volume-41.json"
"208155","greenwood-volume-28.json,greenwood-volume-41.json"
"208149","greenwood-volume-28.json,greenwood-volume-41.json"
"391452","greenwood-volume-41.json,greenwood-volume-54.json"
"391486","greenwood-volume-41.json,greenwood-volume-54.json"
"208187","greenwood-volume-28.json,greenwood-volume-41.json"
"391480","greenwood-volume-41.json,greenwood-volume-54.json"
"208184","greenwood-volume-28.json,greenwood-volume-41.json"
"208159","greenwood-volume-28.json,greenwood-volume-41.json"
"208177","greenwood-volume-28.json,greenwood-volume-41.json"
"208162","greenwood-volume-28.json,greenwood-volume-41.json"
"208174","greenwood-volume-28.json,greenwood-volume-41.json"
"208191","greenwood-volume-28.json,greenwood-volume-41.json"
"208165","greenwood-volume-28.json,greenwood-volume-41.json"
"208198","greenwood-volume-28.json,greenwood-volume-41.json"
"208163","greenwood-volume-28.json,greenwood-volume-41.json"
"391488","greenwood-volume-41.json,greenwood-volume-54.json"
"391462","greenwood-volume-41.json,greenwood-volume-54.json"
"391482","greenwood-volume-41.json,greenwood-volume-54.json"
"208146","greenwood-volume-28.json,greenwood-volume-41.json"
"208199","greenwood-volume-28.json,greenwood-volume-41.json"
"391495","greenwood-volume-41.json,greenwood-volume-54.json"
"208190","greenwood-volume-28.json,greenwood-volume-41.json"
"208173","greenwood-volume-28.json,greenwood-volume-41.json"
"208156","greenwood-volume-28.json,greenwood-volume-41.json"
"391487","greenwood-volume-41.json,greenwood-volume-54.json"
"208192","greenwood-volume-28.json,greenwood-volume-41.json"
"208180","greenwood-volume-28.json,greenwood-volume-41.json"
"391465","greenwood-volume-41.json,greenwood-volume-54.json"
"208154","greenwood-volume-28.json,greenwood-volume-41.json"
"208185","greenwood-volume-28.json,greenwood-volume-41.json"
"391466","greenwood-volume-41.json,greenwood-volume-54.json"
"391483","greenwood-volume-41.json,greenwood-volume-54.json"
"391481","greenwood-volume-41.json,greenwood-volume-54.json"
"391458","greenwood-volume-41.json,greenwood-volume-54.json"
"208178","greenwood-volume-28.json,greenwood-volume-41.json"
"208179","greenwood-volume-28.json,greenwood-volume-41.json"
"208170","greenwood-volume-28.json,greenwood-volume-41.json"
"208186","greenwood-volume-28.json,greenwood-volume-41.json"
"391474","greenwood-volume-41.json,greenwood-volume-54.json"
"391475","greenwood-volume-41.json,greenwood-volume-54.json"
"391470","greenwood-volume-41.json,greenwood-volume-54.json"
"391467","greenwood-volume-41.json,greenwood-volume-54.json"
"208152","greenwood-volume-28.json,greenwood-volume-41.json"
"391463","greenwood-volume-41.json,greenwood-volume-54.json"
"208172","greenwood-volume-28.json,greenwood-volume-41.json"
"208195","greenwood-volume-28.json,greenwood-volume-41.json"
"391477","greenwood-volume-41.json,greenwood-volume-54.json"
"391451","greenwood-volume-41.json,greenwood-volume-54.json"
"208201","greenwood-volume-28.json,greenwood-volume-41.json"
"391491","greenwood-volume-41.json,greenwood-volume-54.json"
"208193","greenwood-volume-28.json,greenwood-volume-41.json"
"208194","greenwood-volume-28.json,greenwood-volume-41.json"
"391504","greenwood-volume-41.json,greenwood-volume-54.json"
"208166","greenwood-volume-28.json,greenwood-volume-41.json"
"391501","greenwood-volume-41.json,greenwood-volume-54.json"
"391473","greenwood-volume-41.json,greenwood-volume-54.json"
"391502","greenwood-volume-41.json,greenwood-volume-54.json"
"208189","greenwood-volume-28.json,greenwood-volume-41.json"
"391493","greenwood-volume-41.json,greenwood-volume-54.json"
"208145","greenwood-volume-28.json,greenwood-volume-41.json"
"391455","greenwood-volume-41.json,greenwood-volume-54.json"
"391507","greenwood-volume-41.json,greenwood-volume-54.json"
"391454","greenwood-volume-41.json,greenwood-volume-54.json"
"208196","greenwood-volume-28.json,greenwood-volume-41.json"
"208153","greenwood-volume-28.json,greenwood-volume-41.json"
"391472","greenwood-volume-41.json,greenwood-volume-54.json"
"391494","greenwood-volume-41.json,greenwood-volume-54.json"
"208158","greenwood-volume-28.json,greenwood-volume-41.json"
"391476","greenwood-volume-41.json,greenwood-volume-54.json"
"208171","greenwood-volume-28.json,greenwood-volume-41.json"
"391485","greenwood-volume-41.json,greenwood-volume-54.json"
"208147","greenwood-volume-28.json,greenwood-volume-41.json"
"208197","greenwood-volume-28.json,greenwood-volume-41.json"
"208183","greenwood-volume-28.json,greenwood-volume-41.json"
"391457","greenwood-volume-41.json,greenwood-volume-54.json"
"391484","greenwood-volume-41.json,greenwood-volume-54.json"
"391479","greenwood-volume-41.json,greenwood-volume-54.json"
"391490","greenwood-volume-41.json,greenwood-volume-54.json"
"391498","greenwood-volume-41.json,greenwood-volume-54.json"
"391492","greenwood-volume-41.json,greenwood-volume-54.json"
"208151","greenwood-volume-28.json,greenwood-volume-41.json"
"391469","greenwood-volume-41.json,greenwood-volume-54.json"
"391499","greenwood-volume-41.json,greenwood-volume-54.json"
"391464","greenwood-volume-41.json,greenwood-volume-54.json"
"208200","greenwood-volume-28.json,greenwood-volume-41.json"
"208150","greenwood-volume-28.json,greenwood-volume-41.json"
"391496","greenwood-volume-41.json,greenwood-volume-54.json"
"208175","greenwood-volume-28.json,greenwood-volume-41.json"
"391453","greenwood-volume-41.json,greenwood-volume-54.json"
"391471","greenwood-volume-41.json,greenwood-volume-54.json"
"208157","greenwood-volume-28.json,greenwood-volume-41.json"
"391500","greenwood-volume-41.json,greenwood-volume-54.json"
"391478","greenwood-volume-41.json,greenwood-volume-54.json"
"391506","greenwood-volume-41.json,greenwood-volume-54.json"
"208164","greenwood-volume-28.json,greenwood-volume-41.json"
"208161","greenwood-volume-28.json,greenwood-volume-41.json"
"208148","greenwood-volume-28.json,greenwood-volume-41.json"
"208168","greenwood-volume-28.json,greenwood-volume-41.json"
"208188","greenwood-volume-28.json,greenwood-volume-41.json"
"391461","greenwood-volume-41.json,greenwood-volume-54.json"
"208169","greenwood-volume-28.json,greenwood-volume-41.json"
"208182","greenwood-volume-28.json,greenwood-volume-41.json"
"391505","greenwood-volume-41.json,greenwood-volume-54.json"
"391456","greenwood-volume-41.json,greenwood-volume-54.json"
"208181","greenwood-volume-28.json,greenwood-volume-41.json"
"391489","greenwood-volume-41.json,greenwood-volume-54.json"
"391497","greenwood-volume-41.json,greenwood-volume-54.json"
"208176","greenwood-volume-28.json,greenwood-volume-41.json"
"391503","greenwood-volume-41.json,greenwood-volume-54.json"
"391460","greenwood-volume-41.json,greenwood-volume-54.json"
"391468","greenwood-volume-41.json,greenwood-volume-54.json"
"208160","greenwood-volume-28.json,greenwood-volume-41.json"